'employee_id','first_name','last_name','email','dob','year_hired','is_active'
'EMP00137','Richard','Luna','Richard_Luna1983@bauer.org','1983-03-28',2005,True
'EMP00372','Stephanie','Graves','Stephanie_Graves1981@fischer.com','1981-06-27',2021,True
'EMP00734','Jennifer','Taylor','Jennifer_Taylor1969@daniels.biz','1969-10-21',2000,True
'EMP00646','Jessica','Perkins','Jessica_Perkins1973@smith-turner.org','1973-10-11',2002,True
'EMP00508','Amy','Conway','Amy_Conway1994@brown-davis.com','1994-03-25',2016,True
'EMP00577','Gary','Jones','Gary_Jones1973@wheeler.com','1973-10-06',2013,True
'EMP00702','Christina','Ingram','Christina_Ingram1987@powell-clayton.com','1987-02-05',2026,True
'EMP00096','Clayton','Jimenez','Clayton_Jimenez2006@davis-cowan.com','2006-06-13',2026,True
'EMP00988','Randy','Dean','Randy_Dean1993@callahan.com','1993-03-05',2013,True
'EMP00390','Brandy','Woodard','Brandy_Woodard1978@ford.net','1978-01-30',2006,True
'EMP00211','Kayla','Roberts','Kayla_Roberts1981@buchanan-ayala.com','1981-09-10',2021,True
'EMP00756','Kenneth','Ramsey','Kenneth_Ramsey1977@anderson-watson.biz','1977-09-06',1998,True
'EMP00414','Katie','Elliott','Katie_Elliott1988@jacobs.info','1988-10-02',2023,True
'EMP00935','Veronica','Bell','Veronica_Bell2005@benson-anderson.com','2005-05-21',2026,True
'EMP00997','Hannah','Mills','Hannah_Mills1982@taylor.com','1982-09-21',2014,True
'EMP00415','Brian','Kennedy','Brian_Kennedy1969@smith.net','1969-10-22',2013,True
'EMP00175','Brenda','Morris','Brenda_Morris1971@jordan.com','1971-11-25',2000,True
'EMP00857','Rachel','Rogers','Rachel_Rogers1987@harris.biz','1987-05-18',2014,True
'EMP00957','Billy','Chandler','Billy_Chandler1998@arnold.com','1998-04-18',2026,True
'EMP00491','Aaron','George','Aaron_George1979@young.com','1979-12-23',2002,True
'EMP00900','Emily','Hicks','Emily_Hicks1989@smith.biz','1989-11-30',2025,True
'EMP00959','Brandon','Andrews','Brandon_Andrews1966@leonard-bray.com','1966-09-26',2021,True
'EMP00628','Brian','Jackson','Brian_Jackson1991@phillips.com','1991-12-06',2023,True
'EMP00085','Zachary','Foster','Zachary_Foster2000@walsh-lopez.org','2000-10-04',2025,True
'EMP00300','Joshua','Martinez','Joshua_Martinez2004@watson.com','2004-10-26',2025,True
'EMP00363','William','Mcguire','William_Mcguire1999@hoover.info','1999-08-12',2020,True
'EMP00721','Mason','Miller','Mason_Miller1989@pena-espinoza.com','1989-10-28',2021,True
'EMP00668','Cassandra','Smith','Cassandra_Smith1985@hartman-campbell.biz','1985-09-20',2013,True
'EMP00041','Christine','Olson','Christine_Olson1998@hogan-carter.com','1998-10-01',2018,True
'EMP00268','Lisa','Villa','Lisa_Villa2000@greene-harrison.com','2000-10-06',2020,True
